uid,name,longitude,latitude,free_bikes,empty_slots
84,84 - Ataulfo de Paiva,-43.219619,-22.983846,10,0
85,85 - Jardim de Alah,-43.215927,-22.983844,9,14
198,198 - Conde de Bonfim,-43.226439,-22.924745,5,4
256,256 - Humaitá,-43.202726,-22.960477,4,11
206,206 - Tribunal Marítimo,-43.174971,-22.901348,11,2
226,226 - Rua do Rezende,-43.188012,-22.913766,0,21
177,177 - Senador Furtado,-43.220415,-22.910341,5,10
247,247 - Praça Pimentinha,-43.325224,-23.003723,0,19
255,255 - Praça Euvaldo Lodi,-43.304132,-23.008688,8,3
225,225 - República do Líbano,-43.185757,-22.907336,1,10
102,102 - Metrô Cantagalo,-43.194224,-22.976476,4,23
103,103 - Barão de Ipanema,-43.190964,-22.974293,0,10
101,101 - Leopoldo Miguez,-43.19171,-22.977519,0,19
107,107 - Figueiredo Magalhães,-43.189412,-22.966082,0,17
104,104 - Assunção,-43.185984,-22.943651,6,4
105,105 - Dias da Rocha,-43.188691,-22.973054,0,15
252,252 - Parque das Rosas,-43.351815,-23.000749,6,13
205,205 - Praça Barão de Ladário,-43.176871,-22.898935,5,10
223,223 - Henrique Valadares,-43.185822,-22.911129,1,13
175,175 - Félix da Cunha,-43.222357,-22.922963,2,17
174,174 - São Cristóvão,-43.223474,-22.910887,7,8
173,173 - SENAI Tijuca,-43.232327,-22.915517,3,12
172,172 - Maracanãzinho,-43.229358,-22.91525,8,2
170,170 - Pereira de Siqueira,-43.22737,-22.920778,6,4
222,222 - Rua do Senado,-43.189274,-22.910626,1,16
181,181 - Júlio do Carmo,-43.202407,-22.910538,2,12
253,253 - Olegário Maciel,-43.305169,-23.012581,4,7
248,248 - Downtown,-43.320717,-23.00429,5,8
182,182 - Metrô Praça Onze,-43.200089,-22.909654,2,13
162,162 - Pacheco Leão,-43.222501,-22.965293,9,7
184,184 - Cinelândia,-43.175531,-22.910896,3,16
220,220 - Santuário Nossa Senhora de Fátima,-43.19205,-22.912412,2,7
186,186 - Lúcio de Mendonça,-43.224546,-22.915451,6,5
188,188 - Metrô São Francisco Xavier,-43.222574,-22.920432,5,11
189,189 - Mariz e Barros,-43.21935,-22.914512,5,10
202,202 - Armazém 3,-43.186436,-22.89476,2,15
196,196 - Ribeiro Guimarães,-43.237611,-22.918668,3,10
221,221 - Rua do Riachuelo,-43.185165,-22.914633,0,15
99,99 - Sá Ferreira,-43.195018,-22.981934,0,11
98,98 - Bulhões de Carvalho,-43.193377,-22.984628,0,0
168,168 - Barão de Mesquita 174,-43.231908,-22.920885,8,11
169,169 - Conde de Bonfim 526,-43.236745,-22.928453,0,15
229,229 - Hotel Novo Mundo,-43.172841,-22.924956,4,9
228,228 - Praça do Itamaraty,-43.187208,-22.90346,0,18
91,91 - Visconde de Pirajá,-43.203105,-22.984406,11,0
90,90 - Joana Angélica,-43.205035,-22.984911,6,1
92,92 - Alberto de Campos,-43.202799,-22.981233,3,10
95,95 - General Osório,-43.197051,-22.984724,5,11
94,94 - Farme de Amoedo 118,-43.200572,-22.982509,3,10
97,97 - Júlio de Castilhos,-43.190429,-22.98388,5,4
250,250 - Professor Souza Araújo,-43.316902,-23.007213,0,11
116,116 - Praça do Lido,-43.175808,-22.96479,3,13
204,204 - São Bento,-43.179494,-22.898395,11,6
224,224 - Catedral Metropolitana,-43.180911,-22.909549,0,15
153,153 - Epitácio Pessoa,-43.211,-22.980478,7,12
152,152 - Parque Brig. Faria Lima,-43.217122,-22.978955,2,8
155,155 - Viaduto Saint Hilaire,-43.204214,-22.963035,3,13
154,154 - Curva do Calombo,-43.205277,-22.973872,8,8
