uid,name,longitude,latitude,free_bikes,empty_slots
235,235 - R. Tenente Airton Pereira,-43.301609,-23.014507,12,1
234,234 - Pier Barra da Tijuca,-43.297974,-23.01446,4,9
237,237 - Adilson Serôa da Motta,-43.309691,-23.013687,8,5
238,238 - Port Brise,-43.313852,-23.013824,2,12
236,236 - Praça Jornalista Mário Filho,-43.306659,-23.014772,13,0
239,239 - Praça São Perpétuo,-43.317209,-23.012993,8,7
242,242 - Posto 5 Barra,-43.331118,-23.010631,7,5
259,259 - Posto 9 Recreio,-43.44945,-23.022885,1,14
260,260 - Posto 12 Recreio,-43.468991,-23.030275,12,6
271,271 - Alfa Barra II,-43.369417,-23.010769,4,6
78,78 - Fashion Mall,-43.258595,-22.996072,11,0
231,231 - Prefeito Mendes de Morais,-43.266257,-22.99956,15,0
230,230 - Metrô São Conrado,-43.253625,-22.993594,14,0
80,80 - Praça São Conrado,-43.270801,-23.000536,19,0
439,342 - Quinta da Boa Vista 2,-43.222432241384226,-22.908778654796723,8,6
118,118 - Anchieta,-43.1697,-22.963343,10,4
57,57 - Praça Niterói,-43.235028,-22.915817,9,5
117,117 - Antônio Vieira,-43.172378,-22.964181,11,8
345,280 - Praça Edmundo Rêgo,-43.26436,-22.92278,6,21
114,114 - Cardeal Arcoverde,-43.180422,-22.964994,0,23
109,109 - Metrô Siqueira Campos,-43.18733,-22.967553,24,2
159,159 - Hospital da Lagoa,-43.216168,-22.962706,4,11
37,352 - Gomes Carneiro,-43.197449,-22.986306,3,11
86,86 - Henrique Dumont,-43.213832,-22.986038,1,22
27,27 - Pedra do Leme,-43.165407,-22.962102,18,12
214,214 - Poeta Manuel Bandeira,-43.171988,-22.910231,5,16
212,212 - Buraco do Lume,-43.175917,-22.906208,2,13
213,213 - Praça do Expedicionário,-43.172874,-22.906758,1,22
344,351 - Constante Ramos,-43.18787,-22.97458,8,2
136,136 - Metrô Flamengo,-43.178053,-22.937276,9,6
5,5 - Largo da Carioca,-43.177804,-22.907568,2,15
346,330 - Praça da Apoteose,-43.19595,-22.91418,22,0
35,35 - Pedra do Arpoador,-43.191618,-22.988905,2,21
