name,full_address,rate,reviews
Da Silva,"Av. Graça Aranha 187 - 4,Rio de Janeiro - RJ 20030-003,Brazil",3.5,6
Roberta Sudbrack,"Av. Lineu de Paula Machado, 916,Rio de Janeiro - RJ 22610-001,Brazil",3.5,6
D'Amici Ristorante,"R. Antônio Vieira, 18,Leme,Rio de Janeiro - RJ 22010-100,Brazil",3.5,6
Bar do Tio Sam,"R. Dias Ferreira, 605,Loja 1,Rio de Janeiro - RJ 22431-050,Brazil",3.5,2
Confeitaria Colombo,"Praça Coronel Eugênio Franco, 01,Rio de Janeiro - RJ 22070-020,Brazil",3.0,34
Pizzaria Guanabara,"Av. Ataulfo de Paiva 1228,Rio de Janeiro - RJ 22440-035,Brazil",3.0,19
Frontera,"R. Visconde de Pirajá, 128,Ipanema,Rio de Janeiro - RJ 22410-000,Brazil",3.0,19
Reserva T.T. Burger,"Av. Ataulfo de Paiva, 1240,Rio de Janeiro - RJ 22440-035,Brazil",3.0,17
Vinícius Bar,"R. Vinícius de Moraes, 39,Rio de Janeiro - RJ 22411-010,Brazil",3.0,12
Adega Portugália,"Largo do Machado, 30,Rio de Janeiro - RJ 22221-020,Brazil",3.0,7
Restaurante Global,"Rua do Catete, 104 - Catete,Rio de Janeiro - RJ 22220-001,Brazil",3.0,5
Restaurante Siri,"Praça Euvaldo Lodi, 65,Barra da Tijuca,Rio de Janeiro - RJ 22640-010,Brazil",3.0,3
Hamburgueria Central,"R. São José, 115,Loja E,Rio de Janeiro - RJ 20010-020,Brazil",3.0,1
Restaurante Casarão 1881,"R. do Mercado 37,Rio de Janeiro - RJ 20010-120,Brazil",3.0,1
Mango Tree,"R. Prudente de Morais 594,Rio de Janeiro - RJ 22420-040,Brazil",2.5,5
Casa Mosquito,"R. Saint Roman, 222,Rio de Janeiro - RJ 22071-060,Brazil",2.5,3
Augusto's Paysandu Hotel,"R. Paissandu 23,Rio de Janeiro - RJ 22210-085,Brazil",2.5,3
Padaria Santa Marta,"Av. Nossa Sra. de Copacabana, 898,Copacabana,Rio de Janeiro - RJ 22020-001,Brazil",2.0,1
